Feature,Importance
src_bytes,0.13257882233758422
dst_bytes,0.10713496502480484
diff_srv_rate,0.0639359633286548
dst_host_srv_count,0.06320174465660786
flag_SF,0.05899978666437039
same_srv_rate,0.04564001819039238
dst_host_srv_serror_rate,0.04414306651718477
count,0.03904555355416921
dst_host_diff_srv_rate,0.03822084557907766
dst_host_same_src_port_rate,0.032891300799125195
dst_host_same_srv_rate,0.03204780764784554
logged_in,0.02853645865773013
serror_rate,0.02801230311613895
flag_S0,0.02659707022409369
srv_serror_rate,0.02003698620704514
dst_host_srv_diff_host_rate,0.01979191011758103
service_ecr_i,0.019539698492538282
dst_host_rerror_rate,0.01686367981789516
service_eco_i,0.01516354842160783
dst_host_serror_rate,0.014928567630854076
protocol_type_icmp,0.01458572779741843
srv_count,0.014293593476799505
dst_host_count,0.013260419792108494
service_private,0.012518452820987652
dst_host_srv_rerror_rate,0.011118594993790164
service_http,0.010651186555392794
protocol_type_tcp,0.009744570432233618
hot,0.007456265642366849
srv_rerror_rate,0.006819667842170471
service_ftp_data,0.006188533414132445
num_compromised,0.005963405019696917
protocol_type_udp,0.005856539182426979
rerror_rate,0.005178049248495048
srv_diff_host_rate,0.00484074203921099
duration,0.004210310438493214
wrong_fragment,0.003935292678844717
service_domain_u,0.003577055014994231
flag_REJ,0.0021434070829713164
service_smtp,0.0011972117371377015
flag_RSTR,0.0011475899432759687
service_ftp,0.0010787009597325787
is_guest_login,0.0009605215557383697
service_other,0.0009270932233705098
service_urp_i,0.0007654901063514772
service_telnet,0.000510818144707107
service_IRC,0.0004562947081424145
service_finger,0.0003772067017626434
flag_S1,0.0003770399161814315
num_root,0.0003486253014362206
num_file_creations,0.0002495229065656363
root_shell,0.00020319420450515664
flag_SH,0.00017954768057965763
num_failed_logins,0.00017930667965833193
flag_RSTO,0.00015180064482661794
service_auth,0.0001316947507592432
service_imap4,0.00010774141632810655
num_access_files,0.00010401488338886439
service_pm_dump,9.729731634346695e-05
service_time,7.416033613192208e-05
service_gopher,6.303367065433632e-05
service_X11,6.260056052590061e-05
service_ctf,6.050124673980588e-05
service_tim_i,5.254315762053264e-05
flag_S2,4.5773181861667114e-05
service_pop_3,4.2340696237722685e-05
urgent,3.60180237552167e-05
su_attempted,3.5968289531195926e-05
num_shells,3.407755788397305e-05
flag_OTH,2.767816154039642e-05
flag_RSTOS0,2.7499201937601344e-05
service_ssh,2.666831885880169e-05
land,2.5364203331704446e-05
service_nntp,1.5788694965651523e-05
service_red_i,1.5564756484363763e-05
service_whois,1.4731382411408712e-05
service_ntp_u,1.4247924017521172e-05
service_domain,1.3970316850071073e-05
service_urh_i,1.3887117175162096e-05
service_uucp,1.2327845887478342e-05
flag_S3,1.0941461373924402e-05
service_shell,8.192586048109188e-06
service_mtp,6.7639307542814344e-06
service_netbios_ns,6.358360019595434e-06
service_remote_job,6.285608653002762e-06
service_daytime,5.516988082391923e-06
service_pop_2,5.223410680257824e-06
service_supdup,4.367885664430554e-06
service_ldap,4.132818376593571e-06
service_efs,3.5372499675517097e-06
service_klogin,3.4586177663705003e-06
service_discard,3.1603019613056085e-06
service_name,3.079203258617195e-06
service_systat,2.252368500866443e-06
service_iso_tsap,1.5881945122669156e-06
service_uucp_path,1.5843907377174788e-06
service_netbios_dgm,1.5796796075808686e-06
service_sql_net,1.3238853169185507e-06
service_sunrpc,1.282677722334717e-06
service_echo,6.563092696090004e-07
service_login,4.472127442566036e-07
service_courier,2.09935541133038e-07
service_nnsp,1.9339963847232787e-07
service_http_443,1.9127299188011685e-07
service_Z39_50,1.420026076450138e-07
service_vmnet,6.962932905910053e-08
service_bgp,6.775631833872414e-08
service_link,1.082423850328705e-08
service_netbios_ssn,5.367671164637117e-09
service_printer,4.0532837832757715e-09
service_rje,3.592871767631939e-09
service_csnet_ns,7.062539977845403e-10
service_kshell,2.1221933007102527e-10
service_exec,1.1455208594844893e-10
service_hostnames,1.0843579992862882e-10
is_host_login,0.0
num_outbound_cmds,0.0
service_netstat,0.0
service_http_8001,0.0
